Model Type,# Distractors,Distribution Type,Avg Reward,Reward Std,Success Rate (%),Success Rate Std,Avg Episode Length
mlp,0,full,"0,957","0,063","99,94","0,002","4,627"
transformer,0,full,"0,954","0,065","98,63","0,011","4,94"
mlp,0,basic_skills,"0,946","0,087","98,66","0,009","5,053"
transformer,0,basic_skills,"-0,021","0,264","25,22","0,028","27,733"
mlp,0,basic_skills_excl,"0,948","0,09","98,08","0,014","4,827"
transformer,0,basic_skills_excl,"0,538","0,187","67,79","0,019","15,56"
mlp,2,full,"0,489","0,672","88,22","0,044","23,56"
transformer,2,full,"-0,609","0,701","37,12","0,034","71,033"
mlp,2,basic_skills,"0,291","0,735","84,23","0,046","27,753"
transformer,2,basic_skills,"-0,675","0,923","35,34","0,034","68,6"
mlp,2,basic_skills_excl,"0,456","0,572","84,37","0,038","23,78"
transformer,2,basic_skills_excl,"-0,563","0,81","43,02","0,048","62,78"
mlp,4,full,"-1,481","0,972","39,04","0,077","110,673"
transformer,4,full,"-2,072","1,354","20,19","0,04","141,167"
mlp,4,basic_skills,"-0,956","1,356","48,16","0,05","91,96"
transformer,4,basic_skills,"-2,207","1,075","15,21","0,033","152,46"
mlp,4,basic_skills_excl,"-1,245","1,335","51,14","0,05","100,18"
transformer,4,basic_skills_excl,"-2,514","1,716","28,81","0,034","130,973"
