Model Type,Distribution Type,#Distractors,Episode Len,Mean,Standard Deviation,AUC
Transformer,FULL,0,36,0.832,0.027,416498.94
MLP,FULL,0,36,0.928,0.015,464817.713
Transformer,BASIC_SKILLS,0,36,0.838,0.038,419668.403
MLP,BASIC_SKILLS,0,36,0.935,0.01,467916.524
Transformer,BASIC_SKILLS_EXCL,0,36,0.819,0.055,409935.818
MLP,BASIC_SKILLS_EXCL,0,36,0.935,0.012,467957.265
Transformer,FULL,2,108,0.277,0.1,276837.975
MLP,FULL,2,108,0.679,0.059,680043.116
Transformer,BASIC_SKILLS,2,108,0.358,0.098,358426.721
MLP,BASIC_SKILLS,2,108,0.667,0.062,667707.326
Transformer,BASIC_SKILLS_EXCL,2,108,0.358,0.094,357788.53
MLP,BASIC_SKILLS_EXCL,2,108,0.682,0.06,682301.762
Transformer,FULL,4,180,-0.466,0.213,-464843.297
MLP,FULL,4,180,-0.007,0.138,-6081.72
Transformer,BASIC_SKILLS,4,180,-0.305,0.163,-304340.294
MLP,BASIC_SKILLS,4,180,-0.135,0.189,-134494.417
Transformer,BASIC_SKILLS_EXCL,4,180,-0.405,0.172,-403833.217
MLP,BASIC_SKILLS_EXCL,4,180,-0.097,0.176,-96926.031
